,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,75.38,28.03,167.66,81.84,70.09,81.84,18.48,54.3,23.01,332.5,20.78,13.15,63.07,27.41,11.24,29.25,18.71,6.11,12.7,20.95,19.92
Healthy soybean,99.27,23.2,174.27,71.57,51.37,71.57,20.35,40.26,18.56,353.92,45.44,8.47,87.59,23.88,14.32,29.94,11.46,6.94,11.83,14.62,13.7
Healthy soybean,50.43,38.67,218.5,60.21,98.82,60.21,16.42,38.74,18.46,242.11,36.88,12.66,54.99,28.75,16.04,29.89,13.66,3.81,15.14,15.23,12.88
Healthy soybean,67.11,23.15,155.2,85,91.06,85,17.71,39.36,19.14,368.96,24.57,14.47,56.3,29.03,12.42,28.86,14.37,8.71,17.75,21.91,14.57
Healthy soybean,64.36,39.42,225.81,53.88,80.04,53.88,15.64,42.85,24.62,302.55,22.02,13.36,52.45,26.4,12.06,24.61,20.06,5.23,18.99,19.24,18.99
Healthy soybean,70.99,22.42,223.42,51.82,65.9,51.82,17.09,46.34,24.56,328.51,33.38,14.15,88.39,25.14,20.93,30.04,16.47,1.89,12.74,15.67,17.13
Healthy soybean,51.89,33.99,183.58,84.32,57.46,84.32,18.01,56.3,23.85,371.52,23.64,15.43,93.71,21.17,19.14,26.54,18.76,10.8,14.36,21,20.2
Healthy soybean,82.23,34.48,196.85,72.72,72.83,72.72,16.47,33.94,25.03,403.39,45.56,11.72,58.43,24.72,13.36,25.75,15.69,3.99,14.64,15.35,12.27
Healthy soybean,57.16,30.87,183.56,90.06,76.6,90.06,20.21,54.71,26.51,309,37.77,12.27,92.04,24.23,19.35,21.31,18.44,9.55,14.14,18.56,11.83
Healthy soybean,99.28,29.28,151.32,97.65,54,97.65,16.85,52.66,23.87,354.89,37.96,12.98,91.53,29.85,13.08,28.83,11.99,2.52,11.86,15.26,14.09
Healthy soybean,55.95,32.41,202.47,84.91,71.23,84.91,13.96,56.64,21.19,296,34.24,16.07,57.15,28.8,20.7,25.3,19.75,7.05,11.91,20.04,13.48
Healthy soybean,91,22.99,224.85,73.96,71.04,73.96,17.05,30.9,22.24,346.42,40.67,8.18,91.3,21.53,18.44,22.84,12.94,1.18,17.26,14.88,11.19
Healthy soybean,108.7,36.16,208.03,98.74,58.98,98.74,14.63,52.94,21.62,394.74,28.32,13.66,86.48,28.21,14.46,25.95,13.52,5.03,16.98,17.74,19.95
Healthy soybean,65.52,39.8,239.05,79.65,67.19,79.65,13.92,54.84,21.92,277.94,46.86,16.9,67.7,22.25,13.22,22.23,11.35,10.37,13.43,17.91,11.56
Healthy soybean,74.9,36.88,182.89,97.58,93.74,97.58,22.78,33.29,27.03,264.08,25.25,8.22,58.24,27.93,15.02,22.26,16.46,10.08,9.9,20.51,14.17
Healthy soybean,104.94,36.66,181.75,58.64,66.86,58.64,21.36,49.74,21.08,280.86,24.07,9.95,55.54,27.5,11.29,24.16,13.24,5.37,10.4,22.19,16.78
Healthy soybean,56.13,38.56,146.28,89.23,74.02,89.23,14.77,36.11,19.66,223.29,37.8,15.88,65.92,25.82,19.93,30.79,13.16,6.55,14.38,18.94,18.97
Healthy soybean,83.9,23.07,194.62,81.69,78.82,81.69,17.58,56.76,22.72,348.31,43.6,12.13,52.56,27.53,16.64,30.68,11.28,2.91,15.49,18,13.18
Healthy soybean,104.02,29.04,224.76,56,62.35,56,13.55,53.27,24.41,327.24,22.03,9.05,60.2,21.1,18.67,28.9,11.91,5.1,18.52,14.23,11.31
Healthy soybean,53.61,40.29,155.76,56.78,59.5,56.78,17.52,52.51,18.11,322.75,32.69,12.51,68.94,21.25,14.74,26.6,19.12,7.01,13.11,16.58,13.77
Healthy soybean,89.29,28.2,204.46,73.03,64,73.03,15.26,43.4,24,259,27.1,13.61,67.8,29.81,15.98,29.69,13.3,8.72,13.13,17.24,20.59
Healthy soybean,65,22.77,169.13,54.8,60.44,54.8,20.71,37.15,22.32,343.21,36.4,10.32,89.52,25.74,13.16,29.34,18.83,5.25,14.06,21.32,18.66
Healthy soybean,101.49,31.64,197.01,83.37,91.94,83.37,17.54,57.52,22.01,351.78,45.13,10.54,52.25,22.32,14.29,23.55,20.07,3.3,11.98,16.64,14.27
Healthy soybean,80.47,25.94,189.61,94.65,84.18,94.65,20.81,30.36,18.72,356.04,28.4,13.32,78.7,24.59,12.13,26.41,11.57,6.26,9.84,17.85,16.17
Healthy soybean,83.33,33.37,212.46,94.69,90,94.69,13.68,43.81,18.27,332.39,34,7.36,88.08,28.9,13.25,30.05,12.98,3.84,15.48,19.41,15.08
Healthy soybean,81.39,34.41,177.84,81.04,72.22,81.04,14.98,36.4,25.88,407,43.28,7.78,99.47,25.34,12.21,30.53,20.82,3.31,11.2,14.03,12.78
Healthy soybean,49,36.82,163,73.75,82.38,73.75,16.25,30.29,20.25,232.07,21.97,14.28,54.8,27.6,20.34,29.64,20.11,5.3,10.21,15.99,16.52
Healthy soybean,105.14,22.69,159.89,57.22,52.26,57.22,16.89,40.12,26.72,394.02,34.85,10.46,50.29,24.08,14.13,26.96,16.13,5.26,10.99,23.3,19.87
Healthy soybean,101.36,27.34,220.75,59.89,62.9,59.89,16.91,58.22,20.47,226.52,29.85,12.92,68.72,20.13,13.32,23.37,15.94,6.32,11.44,17.31,14.13
Healthy soybean,87.19,27.52,201.34,67.51,50.41,67.51,17.67,37.96,24.22,250.46,21.8,7.09,60.35,27.12,14.54,21.93,14.79,9.53,15.85,15.01,19.9
Healthy soybean,54.79,36.53,223.34,93.75,71.71,93.75,15.74,47.65,22.67,333.17,37.42,14.81,75.5,29.66,19.11,22.92,15.23,5.72,9.31,22.56,15.92
Healthy soybean,62.09,27.69,185.97,92.81,92.49,92.81,20.45,55.32,20.35,343.021,23.79,13.08,86,20.23,12.74,21.19,15.2,4.34,10.19,21.79,14.2
Healthy soybean,80.09,35.17,166.6,87.69,51.87,87.69,15.35,55.21,18.77,246.27,45.47,7.44,61.95,29.13,11.01,24.45,11.56,5.56,16.05,23.75,19.07
Healthy soybean,84.36,31.25,202.44,74.1,86.2,74.1,18,40.01,20.44,310.89,35.6,10.79,95.34,26.74,12.11,26.76,17.13,2.13,12.6,22,17.01
Healthy soybean,83.52,39,157.92,91.49,87.12,91.49,19.17,47.68,21.09,392.08,36.54,15.41,60.29,26.23,14.43,23.8,20.12,1.83,9.85,21.4,12.99
Healthy soybean,54.99,23.94,192.81,54.82,67.5,54.82,13.11,49.59,27.39,376,38.63,8.6,82.51,29.65,20.68,21.41,15.91,2.4,13,21.06,11.65
Healthy soybean,67.24,27.86,153.35,76.91,82.1,76.91,18.04,50.37,26.04,334.68,48.61,10.08,89.26,27.58,18.43,29.8,17.86,7.19,17.72,16.22,19.14
Healthy soybean,70.09,29.27,184.69,83.77,53.38,83.77,20.38,38.82,20.64,282.93,43.29,13.28,97.8,27.7,18.23,29.21,18.9,10.22,18.1,17.09,19.49
Healthy soybean,80.51,30.28,140.05,99.48,79.27,99.48,20.02,53.45,26.49,395.81,33.25,15,62.15,22.72,13.1,30.48,13.37,6.88,12.96,14.59,11.79
Healthy soybean,83.98,35,218.38,99.42,84.5,99.42,19.82,41.96,21.5,305.7,37.7,8.09,86.66,22.3,20.37,22.73,18.09,6.98,12.3,16.62,15.93
Healthy soybean,65.8,24.21,211.77,83.04,81.28,83.04,19.34,58.06,21.37,389,50.95,9.86,79.12,29.53,20.29,23.66,13.76,8.02,13.84,23.92,15.79
Healthy soybean,82.94,36.4,193.71,83.23,75.5,83.23,18.27,30.18,19.15,378,47.15,15.44,61.08,23.66,16.1,26.26,17.19,6.15,13.15,21.19,19.83
Healthy soybean,45.53,34.44,232.09,96.45,93,96.45,18.07,33.59,18.32,373,49.8,11.45,71.25,26.27,20.35,24.31,12.51,8.69,17.94,14.95,18.9
Healthy soybean,71.64,25.86,167.59,98.48,90.32,98.48,17.81,54.69,25.79,351,26.14,10.1,65.72,22.78,16.66,22.37,11.85,2.78,16.17,22.2,13.73
Healthy soybean,101.15,24.31,187.39,83.27,73.89,83.27,14.39,57,20.78,269.74,21.66,8.5,81,22.08,12.83,27.19,16.39,8.4,10.39,19.98,20.78
Healthy soybean,68.86,35.27,160.96,77.26,94.57,77.26,17.9,31.94,20.39,307.6,20.11,11.02,50.58,23.63,11.7,22.79,19.92,7.08,17.18,16.94,13.63
Healthy soybean,103.72,27.82,176.79,74.34,62.45,74.34,13.34,48.95,22.11,326,35.34,15.51,75.04,20.95,14.38,25.14,18.3,5.77,12.52,19.96,16.81
Healthy soybean,80.55,23.62,170.28,77.13,50.2,77.13,13.29,31.27,19.16,308.46,47.6,11.4,61.98,20.73,20.45,30.02,20.45,5.27,18.79,17.95,19.04
Healthy soybean,47.43,30.07,208,51.77,91.66,51.77,14.32,40.21,19.75,349,41.94,11.49,59.77,29.16,16.43,22.38,16.98,7.98,11.12,16.66,15.67
Healthy soybean,49.7,30.13,224.06,79.12,91.54,79.12,18.54,59.2,26.62,228.38,20.98,7.35,75.9,20.31,11.47,23.25,18.34,5.97,14.74,19.62,11.7
Healthy soybean,92.85,31.76,157,77.64,83.33,77.64,16.53,45.68,21.93,369.63,42.09,13.97,99.75,22.52,15.65,25.69,17.56,6.08,12.68,22.62,15.62
Healthy soybean,72.47,25,211.74,54.07,73.34,54.07,18.24,35.5,18.68,237.04,21.82,13.09,72.19,25.08,14.47,23.75,17.66,3.69,17.83,23.47,12.87
Healthy soybean,74.42,32.53,171.67,77.18,65.99,77.18,20.17,35.81,18.97,275.09,49.2,11.68,57.72,27.52,11.96,23.85,13.98,9.36,12.82,14.69,16.02
Healthy soybean,99.89,26.75,201.04,92.41,90.68,92.41,14.18,32.35,27.88,260.31,23.46,9.01,87.43,25.77,12.69,28.97,19.8,9.21,12.93,23.1,13.98
Healthy soybean,90.63,34.31,147.95,86.64,97.56,86.64,19.1,47.52,27.45,290.06,35.95,9.76,54.42,29.68,16.5,22.62,17.44,2.5,12.31,16.18,15.99
Healthy soybean,51.83,29.62,202,67.03,72,67.03,20.04,37.44,27.92,348.42,27.69,12.39,94.69,21.98,14.63,25.38,14.29,1.71,16.13,16.06,19.32
Healthy soybean,57.68,25.56,213.82,57.29,50.78,57.29,20.03,32.91,23.5,343.24,20.63,11.58,67.46,29.59,15.74,23.33,11.73,7.67,10.87,16.75,13.08
Healthy soybean,96.19,24.32,166.45,61.08,74.97,61.08,13.21,48.36,26.29,313.9,42.2,16.09,95.53,25.37,20.59,29.32,18.21,7.31,11.95,18.51,17.57
Healthy soybean,60.02,23.85,226.75,51.96,75.23,51.96,19.87,46,26.06,283.82,46.32,10.85,73.44,28.43,15.2,21.97,19.03,7.5,14.12,19.12,14.9
Healthy soybean,95.12,40.2,219.93,81.55,99.33,81.55,22.5,39.41,20.76,390.03,36.52,8.49,55.03,27.63,11.89,29.83,11.69,5.73,18.65,19.08,15.89
Healthy soybean,102.58,40.49,153.04,64.91,53,64.91,21.19,47.56,18.43,238.33,42.75,15.34,51.04,29.3,14.69,28.8,16.77,7.04,16,23.08,20.94
Healthy soybean,67.9,40.64,194.18,61.93,58.3,61.93,21.44,48.11,20.13,287.2,46.44,12.19,76.17,20.42,11.84,28.73,11.3,7.56,11.58,17.08,19.81
Healthy soybean,80,25.92,199.41,61.19,90.96,61.19,18.5,36.87,20.36,406,41.7,12.36,85.09,20.32,16.82,23.65,15.03,4.12,16.7,20.83,13.29
Healthy soybean,93.83,37,199.5,88.31,92.82,88.31,16.87,47.1,24.88,348.81,40.44,16.38,84.65,20.14,19.56,26.11,12.09,3.43,14.22,18.98,15.66
Healthy soybean,62.62,23.37,149.11,87.04,98.2,87.04,14.84,52.62,19.07,288.51,46.03,7.17,99.89,29.94,16.78,25.29,11.79,1.02,11.78,14.71,13.25
Healthy soybean,47,39.63,160.53,91.34,59.94,91.34,15.76,34.63,25.7,262.6,26.59,10.72,98.24,25.07,16.16,26.6,15.93,4.63,17.08,20.9,18.36
Healthy soybean,85.47,33.54,192.72,95.15,82.12,95.15,21.47,59.81,27.82,333.82,36.94,14.16,94.87,25.17,15.25,28.88,18.07,9.61,15.08,19.74,17.91
Healthy soybean,58.27,28.62,178.32,67.8,62.64,67.8,19.56,44.51,26.22,247.19,42.32,13.85,69.99,24.22,20.1,24.51,11.06,5.51,9,14.08,12.93
Healthy soybean,43.38,39.49,165,52.26,76.87,52.26,13.87,53,19.21,211.14,39.47,13.07,71.48,22.36,18.5,30.74,12.9,6.01,12.29,23.85,11.81
Healthy soybean,78.74,30.82,164,64.37,87.87,64.37,21.37,41.11,18.98,319.37,29.61,14.33,94.35,27.9,12.54,25.8,17.8,5.44,13.32,19.1,11.82
Healthy soybean,82,35.68,150.68,93.95,51.76,93.95,22.88,43.89,19.25,285,41.27,13.73,89.08,20.06,20.67,28.7,19.18,2.35,18.21,20.2,16.98
Healthy soybean,92.84,31.44,175.11,82.75,89.2,82.75,21.64,54.52,26.96,256.95,39.75,15.69,68.28,29.95,18.1,21.55,20.95,4.84,14.19,22.89,12.83
Healthy soybean,108.71,36.56,148.81,93.52,93.64,93.52,15.93,54.99,27.6,274.4,34.76,11.63,66.76,26.11,20.31,22.99,16.67,9.65,14.52,22.09,14.36
Healthy soybean,80.93,27.87,152.29,76.37,75.49,76.37,14.11,43.73,18.03,377,29.36,8.04,80.77,24.13,19.81,26.52,18.7,10.49,17.78,16.37,16.65
Healthy soybean,48,31.5,230.06,71.67,92.36,71.67,13.82,45.69,19.03,288.41,45.61,11.3,83.27,22.54,18.42,22.4,17.65,4.32,10.09,21.52,14.24
Healthy soybean,90.95,24.02,151.66,70.32,91.79,70.32,16.79,41.86,21.55,353.4,28.42,8.56,92.6,22.69,16.09,29.44,14.7,6.52,9.95,22.72,12.16
Healthy soybean,50.91,26.12,187.98,54.86,82.68,54.86,20.28,59.3,21.86,363,21.17,16.03,89.66,27.92,20.22,23.1,15.61,8.45,11.74,14.68,13.14
Healthy soybean,74.05,34.12,140,64.72,55.11,64.72,20.2,35.7,20.03,218.81,39.73,10.07,75.09,28.11,16.61,30.56,19.82,9.02,11.32,18.54,18.57
Healthy soybean,92.59,24.9,145.52,63.98,86.54,63.98,17.83,36.12,21.16,222.85,38.4,14.7,74.44,23.11,19.06,24.82,17.54,2.86,16.76,15.69,15.58
Healthy soybean,104.65,22.76,177.28,55.03,58.06,55.03,13.66,55.59,22.58,277.25,48.9,9.35,69.08,22.47,17.25,23.53,19.38,4.74,13.21,22.84,18.62
Healthy soybean,63.14,40.11,207.48,66.26,87.15,66.26,15.6,53.3,26.95,286.93,27.58,14.02,54.97,23.12,19.2,25.57,14.84,10.5,18.53,19.57,11.53
Healthy soybean,78.05,37.6,143.23,69.77,58.71,69.77,17.68,50.09,23.37,374,49.85,10.3,96.45,29.87,18.01,27.5,12.8,9.84,10.9,14.45,19.29
Healthy soybean,77.38,23.52,231,54.97,96.55,54.97,14.83,57.19,24.08,344.43,26.1,7.79,96.99,22.05,14.82,25.5,15.42,2.73,14.72,17.06,15.41
Healthy soybean,94.02,29.41,181.34,86.25,75.12,86.25,17.18,36.58,27.46,329.41,48.82,11.19,96.81,25.57,13.19,23.72,12.44,3.65,15.04,22.45,15.94
Healthy soybean,66.12,34.83,156,69.38,88.59,69.38,18.2,37.33,27.72,331.8,29.42,14.61,62.9,24.31,12.49,24.19,19.24,4.56,14.5,23.89,19.57
Healthy soybean,92.68,39.51,156.53,53.33,83.64,53.33,18.62,47,20.19,242.6,26.21,13.76,82.75,22.59,18.37,24.6,16.69,5.59,17.15,22.61,14.72
Healthy soybean,101.5,30.9,229.36,52.61,80.32,52.61,15.81,59.54,18.7,222.1,35.64,12.95,79.4,28.72,18.72,24.5,12.74,10.87,10.22,17.79,20.15
Healthy soybean,61.44,40.74,141.81,56.12,88.53,56.12,22.19,57.74,22.81,348,45.72,10.44,89.85,22.16,12.58,23.23,20.59,7.07,17.86,20.26,18.42
Healthy soybean,62.25,22.96,199.16,54.08,86.56,54.08,14.54,57.37,27.71,303.32,23.77,8.31,59.15,22.34,16.12,27.9,18.8,6.07,16.77,14.32,14.26
Healthy soybean,99.49,40.96,217.84,89,96.24,89,13.5,46.48,25.91,240.55,33.12,15.75,60.6,28.1,14.02,21.37,16.99,8.25,17.96,20.34,18.05
Healthy soybean,50.08,27.02,198.8,92.98,96.25,92.98,17.41,49.66,24.46,372.98,31.86,13.01,56,23.44,14.91,28.23,13.63,7.25,11.19,21.74,17.61
Healthy soybean,52.11,27.21,175.75,52.36,84.81,52.36,21.35,34.33,21.41,261.22,38.01,7.62,78.97,26.16,17.37,23.7,19.26,3.53,9.34,17.53,11.52
Healthy soybean,42.69,25.32,144.62,89.25,83.18,89.25,22.76,59.36,25.97,294.22,23.08,10.77,61.76,21.61,15.79,30.75,17.6,9.46,12.36,20.07,15.28
Healthy soybean,44.34,39.08,143.99,67.07,81.95,67.07,17.3,59.23,26.21,267.04,40.07,12.77,62.26,29.23,13.21,24.3,16.11,8.8,9.64,18.09,16.83
Healthy soybean,76.59,24.34,219.17,58.73,57.67,58.73,20.5,46.43,22.78,370,45.09,10.22,82.99,22.21,11.32,21.99,11,3.92,18.35,15.11,18.32
Healthy soybean,95.91,22.97,229.26,52.08,69.21,52.08,19.69,38.41,21.13,314.27,36.31,11.71,95.15,23.54,15.46,24.52,11.22,10.95,16.41,23.23,18.53
Healthy soybean,92.18,30.02,170.61,55.75,73.96,55.75,22.11,35.27,18.34,312.99,39.33,14.56,69.43,29.1,14.23,24.27,11.81,5.85,10.07,14.25,20.5
Healthy soybean,100.2,22.98,237.71,93.21,82.73,93.21,19.42,42.47,22.56,215,37.19,16.76,91.48,23.25,11.63,28.93,20,10.57,13.82,14.92,14.31
Healthy soybean,79.04,33.29,180.5,87.62,96,87.62,13.75,49.41,23.25,240.85,31.16,8.3,84.19,20.48,17.83,28.2,14.14,5.16,17.61,22.75,19.68
Healthy soybean,89.89,36.98,189.22,56.55,70.22,56.55,17.22,58.53,19.68,378.85,25.12,10.05,79.38,21.12,11.05,21.38,12.65,8.83,16.48,15.09,15.13
Healthy soybean,44.88,23.33,172.13,93.76,95.18,93.76,20.31,56.38,27.27,238.41,50.43,11.12,91.34,27.71,12.48,22.82,16.36,3.62,9.3,21.35,19.89
Healthy soybean,84.52,27.73,215.11,99.3,72.02,99.3,14.2,44.73,23.09,239.51,47.65,13.6,85.16,25.12,12.32,22.81,11.48,2.67,18.41,18.95,14.7
Healthy soybean,74.3,25.8,203.46,99.9,71.15,99.9,20.19,37.6,22.15,236.4,45.91,8.54,60.17,28.52,19.72,25.53,17.18,8.51,9.38,17.86,20.1
Healthy soybean,67.96,27.35,217.52,59.05,64.12,59.05,22.81,48.66,20.65,243.43,46.98,9.83,51,26.82,14.15,30.51,11.96,4.91,9.51,17.48,15.39
Healthy soybean,104.18,31.59,198.65,53,61.53,53,19,41.69,26.91,238.32,29.8,10.28,90.08,21.55,15.35,22.66,15.6,6.29,10.12,19.21,19.2
Healthy soybean,54,24.88,185,97.08,60.42,97.08,20.68,41.76,24.33,287.58,28.59,8.11,79.93,27.94,17.94,22.21,13.34,1.61,14.68,21.08,14.73
Healthy soybean,65.9,27.03,184.15,94.06,50.32,94.06,15.45,46.83,19.46,215.84,46.7,10.56,99.05,21.82,11.35,23.13,17.23,1.9,9.22,15.74,14.15
Healthy soybean,72.36,40.98,165.7,62.78,72.65,62.78,14.76,44.84,26.84,379.57,50.72,13.68,93.38,22.2,13.51,27.44,18.66,5.93,16.32,20.16,16.23
Healthy soybean,94.72,26.41,177,80.65,76.69,80.65,15.37,34.83,18.49,360.93,38.13,7.66,64.64,29.57,19.82,22.42,15.49,6.72,9.18,15.6,12.03
Healthy soybean,73.77,30.52,153.59,77.46,56.32,77.46,22.69,55.35,21.72,346.43,31.81,15.53,86.79,29.86,20.38,30.45,11.45,7.18,15.28,14.27,17.83
Healthy soybean,90.35,38.59,141,71.18,55.97,71.18,21.04,32.43,22.68,344.67,26.08,14.72,61.67,29.58,20.78,28.32,15.48,8.15,10.29,22.13,14.64
Healthy soybean,94.59,25.9,157.05,68.87,95.01,68.87,15.14,54.28,27.18,318.21,27.38,11.96,58.48,29.02,14.7,22.7,17.63,9.23,14.57,20.92,14.71
Healthy soybean,88,35.82,159.72,96.49,61.6,96.49,21.16,33.32,21.05,349.08,39.99,16.99,67.22,21.76,17.2,30.71,16.57,10.42,14.03,19.67,18.11
Healthy soybean,59.23,37.17,231.89,99.99,53.21,99.99,19.02,55.71,22.99,311,41.65,14.57,92.55,25.54,15.21,21.88,20.51,2.11,15.15,18.22,20.18
Healthy soybean,102.46,32.45,222.37,59.17,89.75,59.17,21.24,50.98,19.12,270.1,44.16,13.35,53.62,24.44,16.37,23.15,16.19,1.19,9.16,23.58,12.12
Healthy soybean,71.09,26.56,163.11,64.58,93.6,64.58,20.79,45.45,23.19,298.53,37.26,13.67,58.7,25.23,12.68,27.68,11.49,4.69,12.46,17.88,12.77
Healthy soybean,86.88,22.52,167.22,86.97,99.43,86.97,19.41,40.25,25.07,392.65,25.75,14.2,59.74,29.49,13.86,24.25,14.91,10.21,13.07,18.36,14.53
Healthy soybean,93.45,39.77,201.99,73.44,54.15,73.44,19.58,47.74,21.9,338.59,44.51,12.87,58.85,21.81,12.78,28.78,13.53,2.25,10.5,19.38,14.3
Healthy soybean,44.87,22.83,204.01,68,67.08,68,18.25,52.88,21.64,338.74,27.65,9.16,97.89,27.98,12.94,21.42,18.45,3.59,13.74,19.58,13.44
Healthy soybean,90.75,34.4,205.93,60.68,58.5,60.68,21.56,57.98,26.74,295.67,41.79,11.51,75.47,23.87,15.18,21.21,13.64,6.25,17.21,20.85,18.77
Healthy soybean,72.4,28.9,235.68,78.7,98.07,78.7,15.95,50.27,24.61,329.31,38.21,10.78,55.22,22.87,20.65,23.14,13.9,8.58,17.49,20.98,19.5
Healthy soybean,50.35,32.29,238.41,73.21,51.53,73.21,16.41,55.13,18.41,288.35,22.95,14.46,66.9,21.39,16.08,25.53,19.09,5.83,14.99,14.66,13.69
Healthy soybean,57.58,33.68,194.98,55.3,63.63,55.3,17.42,46.04,24.6,409.25,30.73,8.76,92.57,25,17.9,29.42,20.6,1.87,13.65,16.54,11.88
Healthy soybean,60.7,35.18,228.46,90.41,68.02,90.41,15.4,36.81,25.45,278,41.85,10.49,76.11,25.33,20.44,24.86,13.6,4.88,13.56,23.98,14.97
Healthy soybean,101.81,26.94,210.47,75.5,98.55,75.5,15.17,57.64,23.82,248.08,37.14,16.43,58.01,28.76,20.33,21.68,18.53,7.51,10.83,14.16,20.52
Healthy soybean,63.6,25.85,208.54,63.94,85.9,63.94,17.94,55.64,27.25,405,31.58,9.21,51.57,21.43,12.44,21.49,18.43,10.58,11.9,18.02,18.71
Healthy soybean,100.52,40.91,174.81,69.84,66.13,69.84,19.38,36.24,22.86,294.49,45.9,16.1,53.48,26.21,11.1,29.39,12.56,2.61,12.54,20.31,18.35
Healthy soybean,81.19,27.96,181.86,55.15,52.71,55.15,14.49,57.36,23.75,408.85,39.48,11.06,81.91,29.89,12.95,25.36,18.73,3.02,9.01,21.87,16.28
Healthy soybean,50.56,33.6,226.61,95,93.1,95,21.41,43.83,23.52,359.77,31.38,14.09,99.97,27.86,12.65,26.94,13.33,9.17,11.05,14.38,12.53
Healthy soybean,71,34.37,163.21,57.62,63,57.62,22.65,55.4,22.41,402,40.83,16.13,58.22,24.96,18,22.19,11.58,10.82,11.02,20.36,18.03
Healthy soybean,41.33,38.77,145.77,78.99,82.62,78.99,17.32,35.51,21.03,327.15,32.72,7.89,69,27.31,17.38,21.44,17.75,2.79,15.23,17.64,18.2
Healthy soybean,57.54,38.9,214.45,71.87,62.79,71.87,22.37,32.15,20.96,294,35.89,16.6,95.92,29.69,11.39,28.6,15.5,1.13,13.19,14.98,14.87
Healthy soybean,43.03,26.54,209.22,79.95,89.79,79.95,18.85,36.1,19.28,299.78,29.7,15.13,86.27,29.26,15.69,26.99,17.38,7.03,18.6,17.26,13.3
Healthy soybean,41.7,28.75,171.13,61.76,98.1,61.76,19.81,53.83,21.83,230.35,39.23,8.85,84.36,21.01,17.63,27.45,13.93,1.63,13.2,21.41,14.37
Healthy soybean,89.74,25.36,163.1,68.88,52.45,68.88,17.62,59.66,26.35,385.14,24.29,7.85,65.94,28.48,17.21,30.17,12.48,6.36,14.85,21.46,15.37
Healthy soybean,95.61,28.92,230.76,56.75,53.78,56.75,19.01,46.57,26.33,226,47.61,9.12,78.32,23.05,14.16,24.28,20.81,7.2,12.16,19.05,13.52
Healthy soybean,101.99,35.67,238.57,57.5,98.99,57.5,22.02,55.96,22.04,343.74,43.99,14.14,86.81,20.15,11.18,24.98,11.98,5.61,16.02,16.08,13.54
Healthy soybean,41.45,39.4,236.58,72.58,67.54,72.58,20.49,44.16,26.34,361.68,37.39,14.05,50.37,29.63,17.86,30.47,13.59,6.18,10.04,16.52,12.31
Healthy soybean,94.1,29.92,175.87,60.3,70.32,60.3,18.34,35.61,20.58,276.02,48.27,10.86,54,25.28,19.53,25.4,20.1,6.45,10.84,18.41,17.05
Healthy soybean,68.98,35.8,234.28,67.7,54.31,67.7,14.28,49.87,27.67,294.83,37.13,9.36,51.59,23.39,19.3,29.12,12.7,2.7,11.55,17.98,16.84
Healthy soybean,105.89,29.35,208.26,70.1,92.7,70.1,16,54.1,23.02,211.51,38.51,14.76,79.7,21.26,20.81,21.18,20.96,2.14,18.22,17.76,19.23
Healthy soybean,54.05,35.73,185.54,81.36,93.25,81.36,16.59,33.64,26.61,360,48.93,8.34,95.16,26.44,11.61,22.93,11.6,7.16,16.34,17.72,19.52
Healthy soybean,68.09,33.33,226.29,99.05,63.75,99.05,16.9,56.57,24.38,249.86,27.62,8.59,98,20.25,17.87,28.52,19.84,7.62,16.51,22.34,13.64
Healthy soybean,45.3,22.46,195.77,84.41,76.33,84.41,16.17,39.67,26.05,251.88,36.41,8.88,52.28,26.95,11.04,28.76,12.87,6.8,12.32,23.14,19.63
Healthy soybean,49.6,24.68,152.45,88,66.37,88,21.79,31.52,23.28,313,22.36,14.12,81.1,25.64,15.61,30.9,17.76,7.94,11.21,17.93,20.9
Healthy soybean,53.17,33.08,191.2,55.66,74.88,55.66,18.89,55.47,18.38,330.6,38.8,8.2,62.95,24.86,15.47,26.16,19.52,10.85,9.19,20,11.14
Healthy soybean,40.52,36.2,166.58,77.43,89.76,77.43,16.45,31.55,26.98,326.65,33.96,8.65,64.24,25.06,17.57,27.87,20.68,5.99,10.6,15.94,14.66
Healthy soybean,100.76,36.65,142.85,57.65,70.26,57.65,17.99,57.53,23.72,350.12,31.11,10.31,83.43,29.33,20.82,27.17,19.57,1.11,17.71,22.97,20.42
Healthy soybean,63.31,36.84,234.75,85.55,89.55,85.55,13.77,35.78,23.81,290.92,43.73,15.78,90.74,23.94,18.76,25.25,20.77,9.63,17.99,19.77,17.78
Healthy soybean,80.45,32.69,229.13,69.85,62,69.85,17.37,32,24.92,230.61,46,15.35,73.86,29.21,13.65,24.59,18.38,2.83,15.84,18.71,14.89
Healthy soybean,91.06,29.99,182.09,68.28,89.14,68.28,19.46,31.02,22.49,311.79,34.81,15.45,63.68,21.21,14.78,23.46,19.3,4.53,17.48,20.63,11.33
Healthy soybean,50.41,36.21,191.56,77.96,93.94,77.96,18.7,39.92,21.38,258.4,41.18,15.96,68.33,28.83,17.95,22.1,12.3,8.29,13.35,20.55,12.73
