,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,39.42,19.12,80.62,48.32,36.58,24.12,3.07,16.89,11.43,193,13.56,24.28,34.91,13.42,9.52,17.74,7.95,51.52,96.02,5.73,4.52
Infection plant,37.59,17.96,118.77,26.33,34.21,22.09,11.37,29.85,14.83,123.59,15.51,22.66,35.94,12.64,1,15.89,7.06,89.77,66.27,4.62,8.72
Infection plant,37.62,19.8,131.99,41.37,43.72,21.56,11.17,29.2,10.15,153.74,10.68,22.34,18.37,16.9,3.13,19.14,8.2,40.39,70.87,13.38,3.91
Infection plant,37.81,18.39,130.7,26.1,27.46,21.24,6.07,14.72,14.25,124.2,14.86,21.33,49.87,14.47,10.84,17.78,1.58,97.61,93.51,10.78,2.81
Infection plant,34.9,12.72,101.2,38.58,23.22,19.91,4.01,18.36,16.51,139.08,13.09,19.73,22.06,10.07,5.73,11.82,3.1,19,74.55,4.52,1.42
Infection plant,32.23,21.67,129.61,31.65,21.22,17.11,12.59,27.22,11.7,181.01,8.6,20.24,21.1,16.8,9.67,20.95,9.94,36.79,80.68,10.53,1.2
Infection plant,30.76,16.19,96.55,14.39,32.59,23.74,12.24,23.06,10.3,117.58,12.76,22.29,48.41,16.43,2.36,19.42,3.94,35.27,54.14,13.4,10.97
Infection plant,36.55,20.33,124.37,14.44,28.23,18.24,11.31,14.73,9.53,207.44,8.64,23.86,26.66,18.8,9.87,17.68,3.19,46,31.37,8.25,1.47
Infection plant,31.25,17.37,91.87,21.97,32.67,25.11,10.67,27.9,13.72,156.28,17.33,24.25,40.95,10.48,1.31,19.35,9,34.44,55.23,5.66,2.25
Infection plant,37.53,12.11,117.39,27.61,47.58,22.02,3.48,28.51,12.06,125.37,8.77,24.96,13.68,13.94,6.35,14.91,9.28,34.61,56.98,13.49,1.85
Infection plant,39.93,13.7,83.93,32.11,23.24,22.51,6.49,18.32,14.13,168.61,10.11,24.65,47.3,14.14,1.14,14.37,3.95,30,88.88,4.77,7.01
Infection plant,37.36,14.75,94.59,18.12,31.27,20.5,12.84,27.99,10.83,158.71,12.58,19.87,11.48,17.04,9.23,18.66,4.28,60.96,24.67,11.63,6.55
Infection plant,31.67,12.02,104.33,29.84,26.38,24.35,6.02,28.48,8.32,179,10.8,26.88,24.77,12.96,4.52,20.44,10.96,15.36,54.48,4.67,9.1
Infection plant,39.67,16.13,121.3,37.73,46.55,21.35,5.03,17.93,10.48,192,13.43,19.02,48.77,14.57,2.42,11.52,7.07,59.7,88.09,5.68,3.32
Infection plant,33.35,17.62,128.33,38.91,30.62,22.05,4.96,24.25,11.96,125,19.97,26.15,33.32,12.46,3.09,20.19,8.95,74.7,96.29,7.11,5.57
Infection plant,30.54,20.07,109.06,11.19,28.41,25.26,6.78,27.4,10.07,134.52,11.17,18.17,38,17.49,9.03,11.24,2.48,85.7,64,4.63,3.44
Infection plant,38.48,18.63,97.31,23.16,35.85,20.59,7.14,22.48,11.12,207,12.28,17,21.96,16.87,4.08,12.76,8.93,50.56,54.09,12.06,4.55
Infection plant,37.39,13.03,94.23,43.16,30.27,19.39,9.93,20.07,12.34,150.08,13.34,19.89,14.34,19.45,4.33,18.38,3.82,65.62,44.27,5.79,5.52
Infection plant,30.39,14.68,128.11,35.17,24.11,25.34,8.59,16.73,14.59,199.4,11.83,19.95,31.67,14.46,6.29,15.13,8.7,77.54,54.93,5.6,8.11
Infection plant,33.93,21.39,98.36,48.77,36.43,23.98,4.68,24.2,15.32,138,15.24,22.65,25.43,19.83,6.15,12.78,3.17,55.18,45.92,4.06,5.49
Infection plant,31.92,17.11,131,18.6,42.97,24.77,4.49,23.55,16.49,177.99,9.36,25.27,13.59,13,6.52,16.98,2.59,90.75,42.46,9.81,3.55
Infection plant,32.07,14.57,86.7,11.37,26.7,18.99,6.97,17.25,12.81,112.91,8.35,24.56,22.63,19.87,7.53,12.92,7.4,68.5,46.09,13.76,2.34
Infection plant,34.35,15.81,86.72,30.75,27.26,25.07,9.83,18.1,15.97,198.88,9.49,19.29,20.73,15.72,4.31,20.67,5.03,42.82,20.12,13.5,8.23
Infection plant,31.27,17.79,91.67,31.81,32.07,23.53,11.69,19.83,17.56,110.51,18.6,26.17,21.97,11.59,4.35,17.91,5.45,60.24,54.8,7.17,5.2
Infection plant,36.77,13.86,81.38,29.21,43.38,23.89,12.76,15.36,12.32,175.29,11.76,20.08,11.12,12.38,1.69,17.97,10.75,98.87,82.57,13.39,8.98
Infection plant,33.1,12.5,135,10.44,46.96,19.66,6.88,22.33,13.75,114.48,12.39,25.16,31.42,10.98,9.65,19.51,7.83,22.87,36.53,11.55,9.48
Infection plant,33.76,21.47,135.03,47.66,22.79,24.27,5.9,29.67,9.1,199.38,8.29,18.13,15.64,11.98,10.35,13.36,2.21,61.36,54.67,4.01,3.61
Infection plant,31.08,17.66,131.41,11.92,48.25,21.45,12.7,20.92,12.29,131.75,9.16,23.68,27.14,15.94,2.86,15.62,7.52,63.43,55.75,10.24,6.32
Infection plant,34.07,21.33,125.15,20.04,37.67,17.04,3.08,27.28,17.57,138.08,12.5,18.51,42.93,19.29,7.03,14.92,1.65,29.64,24.4,12.96,1.58
Infection plant,34.72,19.27,135.68,22.92,42.76,25.96,12.33,16.22,11.07,150.65,19.99,21.07,29.64,15.76,3.35,11.89,9.44,47.37,33.28,13.18,6.08
Infection plant,34.73,18.56,135.99,46.56,34.16,23.9,8.91,25.39,12.88,188.47,10.26,24.08,12.45,12.34,5.16,18.24,1.75,88.16,55.81,9.6,4.83
Infection plant,36.73,17.03,121.48,46.4,21.1,18.28,4.78,27.03,15.46,191.58,14.85,24.58,46.57,17.54,2.24,19.69,4.99,31,54.52,10.22,8.07
Infection plant,30.24,16.03,137.78,27.14,27.11,23.28,9.54,21.35,10.26,206.14,9.46,20.56,17.55,14.54,6.19,12.12,10.38,26.08,30.73,12.64,6.33
Infection plant,36.82,18.53,81.63,31.13,28.16,18.42,4.62,26.43,8.42,160.08,15.36,25.72,37.21,10.77,8.17,20.2,10.18,79.1,55.19,12.02,1.9
Infection plant,30.56,18.42,99.47,18.25,48.51,18.26,10.33,29.8,12.14,113.32,13.57,22.54,19.55,11.29,5.79,18.94,1.93,43.05,89.74,8.3,5.74
Infection plant,39.09,16.66,92.39,28.09,49.99,18.13,9.46,21.86,9.94,133.02,12.26,24.81,27.12,12.7,5.09,13.76,10.71,75.16,81.15,7.2,1.43
Infection plant,33.64,17.02,105.96,35.82,40.17,16.34,3.37,15.25,11.24,202.06,15.82,24.33,38.58,15.07,1.63,20.93,4.01,62.5,60.58,7.96,4.27
Infection plant,33.63,12.86,97.32,12.3,37.94,18.37,6.91,26.28,16.3,200.75,15.19,25.81,33.59,11.14,3.1,12.73,10.12,91.84,52,7.43,3.84
Infection plant,32.06,18.48,86.62,14.23,22.58,20.53,5.39,26.2,10.11,124.95,17.39,23.74,30.97,14.96,8.46,19.48,2.32,55.06,54.35,9.37,8.6
Infection plant,37.67,16.27,96.25,39.37,45.09,16.51,10.37,21.46,17.07,170,9.21,26.27,26.64,14.18,3.92,18.92,4.65,15.86,83.15,9.41,4.31
Infection plant,30.37,18.71,123.01,46.72,34.75,25.13,12.6,20.96,14.39,187.01,14.62,19.15,46.07,14.42,6.98,17.04,6.23,55.2,64.73,5.23,7.31
Infection plant,39.43,14.67,107.98,27.23,41.84,19.1,10.2,28.69,15.55,128.88,18.59,24.97,25.28,18.12,1.27,13.63,8.29,17.6,53.69,4.79,2.92
Infection plant,33.9,17.84,126.14,31.62,33.17,24.84,10.31,25.58,10.64,193.71,14.71,18.65,43.99,18.68,10.9,19.94,2.4,33.15,55.5,12.84,10.04
Infection plant,34.76,13.9,128.46,13.22,45.52,25.47,8.78,23.16,14.63,133.54,8.33,18.43,25.03,18.44,9.72,11.41,1.29,23.03,57.12,13.56,1.88
Infection plant,38.32,12.31,128.64,38.04,23.07,21.31,12.79,28.03,12.03,122.38,12.11,24.14,13.77,18.99,5.48,20.41,2.95,59,49.59,8.33,7.6
Infection plant,30.58,14.32,122,35.88,25.67,22.67,12.45,15.92,16.92,202.86,12.93,23.6,27.61,10.52,9.54,17.53,5.01,78.44,49.69,5.78,9.39
Infection plant,34.82,16.48,94.38,32.06,23.31,24.62,12.99,15.85,10.2,180,14.02,25.64,35.82,19.99,6.04,14.3,10.53,69,46,12.11,6.5
Infection plant,37.03,20.38,105.14,24.48,26.98,23.35,3.09,20.08,12.72,198.11,11.93,20.94,24.29,16.66,7.69,19.82,2,77.91,54.92,4.9,9.86
Infection plant,32.19,12.47,127.23,18.49,49.2,19.01,10.59,21.14,7.99,162.34,12.38,19.12,14.7,13.92,7.9,17.73,8.47,15.43,54.82,8.93,7.66
Infection plant,32.79,20.02,128.7,41.25,37.57,24.75,5.38,17.39,13.09,188,14.6,17.71,17.52,15.01,7.3,11.16,9.51,53.02,55.92,8.89,3.95
Infection plant,34.34,16.49,107.76,39.84,31.06,25.06,9.33,17.01,10.5,194.34,12.16,21.1,38.97,15.27,7.15,20.84,1.5,55.03,80.17,12.15,3.62
Infection plant,31.73,14.95,108.32,36.18,44.85,21.01,7.5,29.96,11.3,114,8.92,21.88,22.83,18,9.81,13.1,3.33,14.42,84.15,4.56,8.89
Infection plant,30.34,16.32,127.35,36.48,25.17,19.54,9.87,21.68,10.52,194.84,11.49,22.93,24.47,15.74,6.06,16.14,1.14,96.66,76.81,6.02,1.94
Infection plant,34.93,20.45,88.46,11.59,26.19,22.2,10.9,26.33,17.63,116.81,9.55,17.24,37,12.1,7.54,15.98,5.22,98.21,61.37,5.03,9.85
Infection plant,31.48,19.81,89.67,39.05,26.2,16.76,7.52,28.68,9.95,133,15.78,25.22,13.71,16.86,7.08,12.89,7.49,65.49,88.17,11.26,4.08
Infection plant,33.66,21.6,106.68,22.5,39.85,19.84,10.77,15.28,13.47,154.9,13.86,17.33,37.91,12.19,10.29,20.01,7.73,43.19,23.53,7.5,8.8
Infection plant,30.33,15.54,85.1,15.22,40.36,20.04,12.46,29.97,17.97,202.29,9.78,24.82,13.07,16.12,8.19,12.32,6.05,64.95,68.97,10.75,9.87
Infection plant,30.07,19.38,112.92,26.79,22.85,20.69,7.09,15.76,17.49,201.71,12.61,24.69,39.29,10.68,1.21,13.33,6.02,55.65,32,11.18,4.16
Infection plant,39.12,12.79,136.03,34.73,40.41,20.27,12.16,29.7,16.62,131.03,11.6,17.38,15.51,16.1,9.32,11.51,3.65,42.64,69.28,7.68,7.35
Infection plant,30.95,17.92,86.11,21.53,35.86,16.05,3.21,25.87,14.47,172.63,15.15,18.83,47.94,15.21,10.99,13.67,7.46,41.29,59.94,7.84,5.96
Infection plant,34.54,20.81,129.13,38.02,29.73,18.1,12.22,21.93,8.65,171.31,15.09,19.46,23.16,16.94,2.64,11.91,3.38,78.11,42.75,12.16,10.69
Infection plant,31.32,19.03,122.64,28.94,33.81,23.24,3.64,29.36,12,132.23,15.73,18.16,19.37,17.91,6.41,12.64,9.21,87,56.95,8.77,7.24
Infection plant,36.05,18.01,123.56,16.67,41.87,25.01,8.03,19.07,9.77,138.25,15.97,17.56,46.8,14.61,7.31,20.04,3.53,18.82,71.13,5.7,5.45
Infection plant,37.02,16.38,93.97,28.29,21.41,24.34,3.55,25.52,13.77,206.68,13.73,18.77,34.15,12.48,6.73,15.33,2.34,70.24,70.65,5.51,6.05
Infection plant,36.84,12.34,112.88,24.68,45.05,21.26,4.43,14.01,8.47,207.82,15.52,21.3,41.17,19.74,5.29,13.99,1.85,40.53,81.23,9.35,2.29
Infection plant,32.43,12.36,128.6,43.66,34.72,25.61,10.79,19.46,17.55,115.03,10.67,19.06,35.6,12.91,10.54,11.2,7.15,42.89,89,4.22,9.7
Infection plant,31.6,21.12,126.86,25.15,46.62,23.87,8.66,27.57,14.01,208.23,19.49,20.22,47.23,15.93,4.66,15.85,3.2,96.26,64.85,10.5,9.68
Infection plant,34.14,21.23,133.62,38.39,39.63,16.84,8.62,25.12,15.66,111.67,15.48,22.8,22.92,11.68,4.5,16.2,3.81,70.6,80.4,7.77,9.03
Infection plant,39.46,21.94,133.48,23.85,31.58,22.13,6.53,21.2,15.52,193.24,19.12,24.37,33.4,15.53,9.35,16.19,8.59,33.55,54.88,12.71,8.63
Infection plant,35.3,15.16,113.77,40.55,31.99,17.96,4.02,29.54,15.47,125.86,14.73,22.48,17.76,14.41,6.09,15.78,6.17,74.79,54.41,4.95,4.36
Infection plant,34.97,20.83,81.77,17.55,48.38,16.23,7.2,15.96,12.54,129.06,10.76,23.93,25.42,17.32,8.66,13.21,9.5,89.99,55.1,5.45,5.54
Infection plant,32.32,15.23,104.61,12.18,33.87,24.9,5.77,26.05,17.17,159.71,9.59,25.24,42.71,17.9,6.58,13.47,2.05,91,54.15,10.87,10.89
Infection plant,34.59,21.57,86.98,28.17,35.93,16.07,6.74,20.87,17.45,205.74,14.26,17.77,34.93,16.22,7.17,14.34,10.98,57.79,44.73,10.49,1.64
Infection plant,39.84,16.82,126.78,13.67,35.59,21.73,6.2,21.03,8.49,141.37,18.23,18.1,33.13,14.89,3.65,20.56,7.51,19.72,76,5.54,4.6
Infection plant,37.45,15.19,123.81,34,28.97,23.26,8.17,15.97,10.06,199.82,8.52,20.34,38.04,19.67,10.15,11.13,5.88,94,54.76,13.21,9.28
Infection plant,32.41,20.94,85.61,46,22.95,22.9,9.15,22.08,9.7,133.65,19.86,23.33,41.72,12.39,6.64,13.65,8.22,86.96,47.61,10.21,7.1
Infection plant,34.55,15,116.82,31.48,48.49,16.45,11.88,18.33,8.05,180.83,10.62,23.11,47.66,17.82,10.13,14.96,3.57,97.44,63.74,5.33,2.54
Infection plant,36.48,18.98,137.51,43.01,42.42,23.31,12.8,16.87,11.19,178.77,16.48,24.29,41,15.37,6.62,14.2,9.7,88.68,59.44,5.46,10.66
Infection plant,33.22,16.47,110.16,23.23,23.9,20.8,4.39,22.73,10.85,124.79,10.66,24.86,34.64,15.57,5.23,12.48,7,55.49,33,7.93,4.58
Infection plant,35.1,13.42,81.18,18.27,48.36,18.93,4.9,25.15,8.99,140.13,9,18.94,38.23,13.54,8.36,15.58,1.19,65.89,56.85,7.95,7.09
Infection plant,32.37,19.47,112.02,15.65,29,17.64,11.08,28.17,15.51,133.29,17.89,24.54,49.71,15.56,6.03,19.52,3.12,90,56.6,6.9,5.64
Infection plant,30.69,17.16,114.3,34.69,28.19,17.61,8.08,17.84,13.6,208,15.11,23.92,33.74,15.79,9.43,12.03,6.04,58.28,66.65,13.36,8.76
Infection plant,35.81,13.2,81.9,19.09,20.18,16.41,4.48,21.73,17.44,112.66,8.83,25.54,49.05,10.47,3.71,20.22,9.57,70.18,56.41,9.51,9.88
Infection plant,31.65,19.28,82,39.79,33.3,21.09,10.07,24.99,13.22,181.97,14.68,25.7,19.01,12.58,7.33,20.4,8.6,72.35,31,12.87,5.62
Infection plant,36.92,14.05,90.18,15.53,33.96,22.97,3.16,18.63,12.07,185.54,13.06,23.87,37.3,14.38,3.51,14.33,5.1,78.84,56.52,8.75,9.54
Infection plant,32.3,15.44,118.39,11.23,37.82,20.36,10.61,29.26,8.13,114.31,9.62,21.7,41.59,10.54,3.62,12.21,1.44,66.88,86.27,6.07,10.25
Infection plant,33.91,15.85,92.74,47,32.76,22.14,12.4,23.25,13.64,117.06,10.03,25.62,28.3,14.36,9.74,16.28,2.39,64.72,73.95,5.59,2.2
Infection plant,31.7,21.58,124.51,22.19,22.54,16.56,5.06,21.51,14.07,142.22,15.37,24.19,34.73,14.5,8.82,16.53,6.72,25.67,42.8,11.19,6.73
Infection plant,34.81,13.04,90.41,39.94,25.11,19.22,11.94,20.06,11.13,204.52,15.23,19.57,26.86,10.36,3.32,15.12,8.39,93.3,51.13,8.09,2.13
Infection plant,31.4,19.15,116.67,32.7,42.59,19,10.01,25.53,13.55,177.81,13.36,20.61,31.59,19.41,9.27,19.46,5.86,98.47,67.33,8.63,10.1
Infection plant,34.84,20.8,111.43,27.34,42.46,20.89,6.14,19.01,9.55,126.51,10.14,22.61,13.05,14.45,3.66,20.79,3.55,38.14,81.62,6.14,2.38
Infection plant,31.89,13.28,83,39.29,46.02,19.47,3.77,27.11,13.82,117.23,18.48,21.59,17.44,12.84,5.25,20.8,4.25,60.83,22.58,11.36,3.96
Infection plant,37.57,19.61,130.58,31.8,39.06,20.14,5.6,23.75,12.4,142.4,8.27,18.97,20.82,10.89,9.89,11.34,6.07,64.91,55.41,9.87,9.27
Infection plant,32.88,12.96,127.98,17.09,47.93,22.5,8.44,24.91,15.6,169.47,15.35,19.28,47.14,13.26,2.02,19.64,9.8,67.63,78.91,7.37,7.59
Infection plant,39.61,21.17,126.99,45.27,24.44,24.14,8,19.47,11.68,194.6,19.04,24.32,18.05,17.63,10.83,12.81,1.59,55.73,76.39,6.1,6.53
Infection plant,34.67,18.1,91.52,39.64,27,17.35,8.99,23.64,9.02,179.09,17.45,21.65,34.18,13.96,5.34,17.66,3.15,27.89,51.19,8.32,7.45
Infection plant,39.15,14.55,127.89,44.73,47.77,25.3,6.06,29.35,11.98,182,14.1,19.7,45.34,17.25,9.09,19.29,4.08,92.16,55.88,12.92,9.75
Infection plant,33.71,14.49,119.15,19.74,24.53,21.08,9.06,18.89,10.43,133.58,10.61,23.51,31.82,10.06,7.39,15.44,5.92,45.41,28.54,6.99,4.64
Infection plant,39.66,20.35,86.12,12.41,38.35,18.73,10.23,19.76,13.2,178.68,14.53,23.82,41.37,17.67,7.58,19.65,1.37,82.7,27.27,13.65,2.1
Infection plant,30.7,17.91,113.82,33.16,25.77,23.6,4.71,25.54,17.65,200.32,13.39,22.97,10.75,13.71,8.11,11.73,4.1,75.39,54.59,10.51,9.74
Infection plant,30.81,17.4,123.37,48.03,48.59,17.15,12.75,17.72,10.49,195.36,9.98,18.8,43.71,12.23,6.77,11.79,6.38,69.13,49.57,11.97,8.19
Infection plant,33.13,15.8,123.58,16.51,35.12,20.08,12.94,21,16.46,116,13.76,19.58,31.48,15.1,9.45,13.31,8.72,60.2,54.51,6.53,3.69
Infection plant,32.61,21.93,86.9,22.95,25.04,24.61,10,21.05,8.67,203.48,12.4,26.67,11.16,11.17,3.38,13.09,2.66,42.55,32.72,9.33,9.41
Infection plant,30.6,21.49,109.08,40.71,24.31,20.87,5.3,28.93,16.09,159,11.8,17.4,18.57,16.83,3.63,20.09,4.66,15.45,61.73,5.09,6.96
Infection plant,38.97,16.21,124.68,23.3,39.69,21.66,10.03,24.76,12.36,127.59,15.74,20.52,48.32,19.68,3.75,11.36,10.1,18.76,55.13,6.12,8.41
Infection plant,34.32,17.21,90.82,31.4,21.46,24.17,11.44,26.89,16.54,206.79,12.27,24.74,41.46,18.4,5.99,18.32,4.58,76.74,27.56,13.63,9.22
Infection plant,34.8,13.72,87.91,37.52,20.45,25.78,9.64,22.89,12.42,167.22,13.1,19.72,31,14.21,2.01,15.29,7.88,77.8,34.81,13.57,5.81
Infection plant,38.88,15.94,136.69,43.39,41.11,25.16,5.63,28.59,9.34,122.1,10.39,18.18,48.33,17.47,10.81,20.05,4.2,46.52,39.79,13.32,7.27
Infection plant,36.36,13.11,103.24,45.55,36.13,23.96,11.57,14.08,15.01,202.15,13.65,22.62,40.17,17.43,7.83,13.85,9.96,73.11,87.55,13.24,8.59
Infection plant,30.92,14.81,88.73,25.34,28.28,24.09,11.81,29.91,17.34,180.21,10.93,23.72,11.92,11.3,6.82,18.5,9.26,41.55,48.26,6.96,10.96
Infection plant,30.65,18.67,130.13,36.59,45.06,21.18,10.39,17.71,13.49,191,11.66,22.71,13,13.86,7.19,16,9.32,58.02,26.61,13.33,8.65
Infection plant,34.38,21.43,129.45,25.17,24.61,16.98,8.98,19.23,15.8,146.4,17.87,23.35,44.01,16.99,6.99,14.44,4.05,67.7,76.77,7.46,10.19
Infection plant,31.39,13.81,111.05,30.83,28.3,19.71,3.59,15.45,13.27,109.2,8.38,24.36,46.81,11.16,8.3,14.27,3.96,25.41,39.11,11.3,2.69
Infection plant,34.66,19.73,139.77,45.21,22.49,21.02,5.16,15.55,13.35,136.61,11.13,17.94,46.76,14.02,10.37,19.47,3.24,64.26,45.55,6.65,8.94
Infection plant,31.63,15.41,88.67,40.2,42,21.88,9.86,29.1,14.37,165.34,15.14,19.76,27.42,17.81,3.26,11.92,10.61,59.35,38.18,10.89,2.82
Infection plant,35.21,12.45,105.51,19.01,25.69,19.2,3.89,23.19,11.57,155.03,20.89,21.64,43.16,12.43,9.4,18.14,3.21,50.41,55.45,8.26,1.73
Infection plant,39.01,12.43,92.79,43.41,34.74,18.17,6.45,21.97,11.85,140.66,11.45,22.43,44.69,10.45,9.57,18.3,2.04,55.16,45,7.92,7.79
Infection plant,37.82,21.51,137.17,46.23,45.17,17.27,3.36,23.68,17.37,207.81,16.6,22.32,49.49,13.2,3.25,11.1,5.74,61.39,71.84,6.39,4.78
Infection plant,38.82,18.37,112.08,43.9,22.97,20.86,5.82,25.73,11.23,202.2,8.59,24.61,41.05,16.03,4.97,13.08,10.91,81.88,26.18,12.93,7.96
Infection plant,37.46,21.14,96.87,17.11,35.02,17.26,7.75,23,15.3,142,14.31,26.76,12.27,12.67,1.3,12.7,9.33,61.15,44.72,9.15,7.84
Infection plant,33.27,15.93,137.55,47.93,43.68,20.28,12.05,17.86,11.42,145.12,17.91,20.86,29.08,12.28,10.77,17.77,8.19,66.21,21.89,4.55,10.49
Infection plant,38.89,16.11,135.91,28.46,49.87,20.43,5.7,25.22,16.43,148.28,9.1,19.84,14.47,16.25,3.49,12.86,2.61,39.75,83.95,4.18,4.49
Infection plant,31.53,12.66,120.32,10.53,48.75,16.21,6.75,21.23,12.19,111.71,10.05,19.45,42.01,12.22,5.17,17.94,4.64,15,88.42,11.81,3.24
Infection plant,34.1,16.26,127.01,26.53,48.66,23.07,12.89,27.95,13.9,139.45,11.15,19.85,31.62,14.26,3.76,18.95,8.3,81.35,32.19,6.55,6.03
Infection plant,37.34,16.2,97.5,26.07,24.38,19.79,5.36,23.77,13.65,131.51,16.27,24.03,16.99,17.36,8.33,15.45,4.68,77.85,50.07,12.81,9.69
Infection plant,36.5,21.32,123.95,26.14,47.33,23.94,9.08,23.17,14.17,118.79,13.33,18.21,37.34,10.84,1.83,15.71,5.18,49.1,55.91,12.07,2.47
Infection plant,34.48,13.89,89.85,47.76,44.8,19.61,8.86,23.15,13.71,166.07,16.57,18.48,45.97,13.4,7.11,15.73,6.92,39.56,55.95,10.59,5.27
Infection plant,39.92,17.67,128.2,15.07,34.57,23.2,3.56,24.9,10.46,149,19.85,23.79,11.04,15.91,4.51,16.23,5.82,90.49,40.18,7.72,3.54
Infection plant,35.45,19.58,82.51,15.13,42.54,23.25,11.54,23.63,11.75,157.04,8.36,26.13,37.46,10.61,10.56,14.57,3.88,73.34,52.09,4.65,3.1
Infection plant,33.26,17.17,89.92,22.48,34,18.84,8.27,24.08,9.59,159.58,17.17,19.08,12.85,17.62,6.67,12.02,1.38,32.52,51.56,10.13,9.01
Infection plant,37.54,19.5,96.97,10.55,35.16,17.21,9.34,18.04,16.03,177.06,19.16,26.48,43.8,10.5,3.6,17.95,7.57,81.72,71.99,11.34,5.21
Infection plant,35.56,15.3,116.78,17.16,45.66,16.68,6.96,25.45,14.75,170.47,18.56,25.17,16.24,16.02,1.39,16.93,3.87,14.7,54.44,5.15,10.44
Infection plant,38.17,20.1,88.33,49.62,38.46,24.18,10.52,27.04,10.82,206,10.32,22.95,31.21,13.15,3.43,11.23,2.12,75.69,73,12.44,6.94
Infection plant,35.93,14.52,90,14,26.13,23.29,5.49,25.05,9.2,125.96,13.93,23.34,27.93,17.75,10.26,13.84,8.18,82.67,94.11,10.31,5.93
Infection plant,30.78,17.81,126.88,17.24,38.27,18.7,8.88,27.83,9.22,161.3,17.03,26.1,12.94,18.41,6.36,14.54,1.04,17.82,79,7.39,3.93
Infection plant,31.69,20.28,95.89,45.99,28.61,25.23,4.07,14,11.01,175,9.93,21.14,35.77,19.54,2.28,11.84,8.33,50.87,24.24,8.24,10.63
Infection plant,30.53,12.46,127.95,48.95,36.87,17.51,5.71,26.82,17.04,172.56,12.54,24.15,16.4,16.49,7.67,15.7,5.34,22.66,19.13,6.18,7.13
Infection plant,30.25,13.99,132.76,28.33,28.27,25.42,10.58,29.39,8.77,175.93,8.3,21.17,17.58,11.07,5.56,18.04,5.21,45.31,68.01,7.34,7.89
Infection plant,33.75,16.64,93.85,43.65,30.34,18.29,3.12,23.84,10.54,125.7,11.27,22.91,39.74,13.74,5.7,20.72,2.11,84.19,42.55,13.67,4.96
Infection plant,38.93,15.66,91.36,46.05,21.32,25.59,7.73,29.07,11.65,127.24,13.98,21.55,16.19,12.42,8.48,20.83,10.84,33.54,86.36,8.28,3.22
Infection plant,38.61,12.92,81.45,19,48.33,22.81,11.73,22.05,14.69,180.88,14.15,19.09,24.52,11.94,4.22,15.88,5.7,55.09,38.69,11.64,6.27
Infection plant,36.74,16.95,130.87,33.4,33.86,23.7,4.13,23.44,8.5,113.06,16.52,25.77,18.45,15.87,6.84,14.36,7.19,60.91,54.64,8.29,4.9
Infection plant,35.05,14.7,87,25.14,24.12,23.1,4.67,14.68,8.37,129,12.67,24.8,23.79,16.17,3.41,11.93,4.75,68.49,32.8,4.25,7.7
Infection plant,38.08,15.1,136.6,27.05,45.2,23.05,7.39,14.86,9.33,130,17.88,26.97,34.53,12.52,10.09,13.05,4.73,55.87,55.71,4.68,6.38
Infection plant,35.66,13.5,96.3,37.07,37.29,22.71,4.19,29.21,16.64,157.61,15.07,25.29,25.56,19.24,10.5,11.85,7.09,36.75,33.81,7.73,1.92
Infection plant,36.33,15.08,132,43.71,24.85,19.13,7.66,23.6,14.16,188.09,10.22,26.83,46,19.52,2.32,18.88,4.67,80.35,98.08,12.39,1.38
Infection plant,34.62,14.63,98.37,24.54,23.49,25.31,3.76,20.95,10.92,135.96,14,18.89,47.22,16.04,8.78,17.75,7.45,58.25,54.04,8.79,5.69
Infection plant,35.59,20.14,125.26,24.77,47.72,24.52,9.58,28.95,16.04,119.2,10.83,22.06,36.23,11.89,9.39,17.57,2.41,97.63,26.01,5.08,9.66
Infection plant,34.44,13.74,107.53,15.66,34.59,17.7,4.3,20.17,10.18,170.71,9.26,26.81,10.72,18.62,1.15,20.48,3.89,25.87,69.31,4.89,9.12
Infection plant,32.6,15.46,84.41,47.72,35.09,20.72,10.38,15.78,11.14,180.82,13.72,19.1,26.1,11.65,4.24,20.91,6.68,76.73,41.92,11.79,5.58
Infection plant,37.96,17,85.88,36.99,27.83,23.78,6.73,27.55,17.13,128.1,13.49,26.61,18.13,16.63,2.05,13.17,10.19,51.23,99.43,7.67,4.04
Infection plant,36.28,21.65,80.29,16.75,30.23,21.8,6.03,27.98,8.97,162,15.27,26.77,32.19,18.7,6.87,18.12,4.81,30.76,54.02,4.64,5.08
Infection plant,36.39,20.6,85.39,23.26,35.18,25.1,6.57,21.22,8.12,169.92,9.79,23.56,47.93,19.59,10.06,13.93,7.84,17.33,25.88,9.31,2.58
Infection plant,37.29,16.63,86.57,10.63,41.63,25.64,6.44,26.19,15.1,179.54,15.1,17.95,24.21,18.85,3.47,11.28,3.91,20.72,97.09,6.49,1.87
Infection plant,37.61,16.61,86.92,22.06,23.38,25.83,11,24.26,12.65,149.3,14.46,21.82,25.18,16.33,1.79,17.01,10.08,27.9,92.72,13.19,9.84
